ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
,XLE,2014-12-30,64.71950000,64.88950000,63.92950000,64.17950000,19148100.00000000,64.17950000
,VTI,2014-12-29,96.57340000,96.92340000,96.50340000,96.80340000,3746700.00000000,96.80340000
,XLE,2014-12-29,64.58450000,65.29450000,64.21450000,64.69450000,18224100.00000000,64.69450000
,XLK,2014-12-29,38.64650000,38.76650000,38.55650000,38.59650000,4638300.00000000,38.59650000
,XLI,2014-12-29,51.14170000,51.35170000,50.72170000,51.30170000,3566200.00000000,51.30170000
,XLB,2014-12-29,43.88420000,44.14420000,43.88420000,44.00420000,2173200.00000000,44.00420000
,XLK,2013-12-30,31.99460000,32.01460000,31.90460000,31.95460000,4638800.00000000,31.95460000
,XLE,2013-12-30,69.82000000,69.91000000,68.99000000,69.08000000,7045700.00000000,69.08000000
,XLI,2013-12-30,45.54620000,45.58620000,45.41620000,45.47620000,4944000.00000000,45.47620000
,XLB,2013-12-30,40.35290000,40.44290000,40.26290000,40.37290000,2100500.00000000,40.37290000
,VTI,2013-12-30,84.45940000,84.51940000,84.26940000,84.42940000,3159900.00000000,84.42940000
,XLB,2012-12-31,31.37640000,32.20640000,31.32640000,32.15640000,14333500.00000000,32.15640000
,XLK,2012-12-31,24.91630000,25.59630000,24.87630000,25.47630000,15186300.00000000,25.47630000
,XLI,2012-12-31,31.76930000,32.57930000,31.68930000,32.54930000,13414400.00000000,32.54930000
,VTI,2012-12-31,62.09850000,63.52850000,62.03850000,63.49850000,8359300.00000000,63.49850000
,XLE,2012-12-31,53.53900000,55.26900000,53.39900000,55.24900000,16384800.00000000,55.24900000
,XLE,2012-12-28,54.82890000,54.86890000,53.95890000,54.01900000,11802400.00000000,54.01900000
,XLB,2012-12-28,31.75960000,31.90960000,31.46960000,31.53960000,6640800.00000000,31.53960000
,XLK,2012-12-28,25.13360000,25.33360000,25.01360000,25.04360000,8253400.00000000,25.04360000
,XLI,2012-12-28,32.08530000,32.36530000,31.92530000,31.96530000,6626000.00000000,31.96530000
,VTI,2012-12-28,62.72200000,63.07200000,62.36200000,62.37200000,3618600.00000000,62.37200000
,VTI,2011-12-30,54.69790000,54.87790000,54.51790000,54.52790000,1267600.00000000,54.52790000
,XLI,2011-12-30,28.46240000,28.59240000,28.32240000,28.32240000,4281700.00000000,28.32240000
,XLK,2011-12-30,22.14640000,22.25640000,22.09640000,22.09640000,3751300.00000000,22.09640000
,XLB,2011-12-30,27.97680000,28.20680000,27.97680000,28.03680000,3605100.00000000,28.03680000
,XLE,2011-12-30,52.38170000,52.84170000,52.31170000,52.51170000,6580000.00000000,52.51170000
,XLE,2011-12-29,51.98450000,52.61450000,51.92450000,52.53450000,7702100.00000000,52.53450000
,VTI,2011-12-29,54.22390000,54.80390000,54.18390000,54.77390000,1565200.00000000,54.77390000
,XLB,2011-12-29,27.61350000,28.07350000,27.57350000,28.05350000,4276800.00000000,28.05350000
,XLK,2011-12-29,22.03580000,22.20580000,21.99580000,22.16580000,5888900.00000000,22.16580000
,XLI,2011-12-29,28.09860000,28.52860000,28.08860000,28.49860000,6053600.00000000,28.49860000
,XLK,2010-12-30,21.59920000,21.62920000,21.52920000,21.55920000,5046000.00000000,21.55920000
,VTI,2010-12-30,54.01980000,54.18980000,53.94980000,54.02980000,5767700.00000000,54.02980000
,XLI,2010-12-30,28.62440000,28.73440000,28.56440000,28.60440000,4316100.00000000,28.60440000
,XLE,2010-12-30,50.98720000,51.30720000,50.74720000,50.98720000,5976700.00000000,50.98720000
,XLB,2010-12-30,31.48900000,31.64900000,31.41900000,31.49900000,3576300.00000000,31.49900000
,XLI,2010-12-29,28.73370000,28.76370000,28.63370000,28.65370000,3893400.00000000,28.65370000
,XLE,2010-12-29,50.50230000,51.11230000,50.38230000,50.94230000,5532700.00000000,50.94230000
,XLK,2010-12-29,21.63040000,21.67040000,21.58040000,21.61040000,3734900.00000000,21.61040000
,VTI,2010-12-29,54.13640000,54.21640000,54.04640000,54.09640000,6472400.00000000,54.09640000
,XLB,2010-12-29,31.49900000,31.55900000,31.39900000,31.49900000,2569300.00000000,31.49900000
,XLI,2009-12-30,22.66640000,22.79640000,22.64640000,22.68640000,5471000.00000000,22.68640000
,XLK,2009-12-30,19.37940000,19.50940000,19.34940000,19.49940000,5683500.00000000,19.49940000
,XLE,2009-12-30,42.11910000,42.33910000,41.91910000,42.26910000,7253600.00000000,42.26910000
,XLB,2009-12-30,26.28190000,26.56190000,26.20190000,26.47190000,2974200.00000000,26.47190000
,VTI,2009-12-30,46.29650000,46.51650000,46.26650000,46.44650000,1592300.00000000,46.44650000
,VTI,2009-12-29,46.76290000,46.76290000,46.46290000,46.46290000,1527000.00000000,46.46290000
,XLI,2009-12-29,22.84930000,22.84930000,22.75930000,22.79930000,2883100.00000000,22.79930000
,XLE,2009-12-29,42.93330000,42.94330000,42.16330000,42.31330000,8513400.00000000,42.31330000
,XLB,2009-12-29,26.45360000,26.73360000,26.37360000,26.50360000,3717600.00000000,26.50360000
,XLK,2009-12-29,19.50200000,19.50200000,19.39200000,19.43200000,3849400.00000000,19.43200000
,VTI,2008-12-30,34.35290000,35.18290000,34.17290000,35.18290000,8725900.00000000,35.18290000
,XLK,2008-12-30,12.37690000,12.66690000,12.37690000,12.61690000,4272900.00000000,12.61690000
,XLI,2008-12-30,17.43830000,18.02830000,17.34830000,17.92830000,4754000.00000000,17.92830000
,XLE,2008-12-30,33.07570000,34.15570000,32.66570000,34.07570000,16454400.00000000,34.07570000
,XLB,2008-12-30,16.96950000,17.36950000,16.83950000,17.31950000,3533800.00000000,17.31950000
,VTI,2008-12-29,34.54180000,34.55180000,33.65180000,34.28180000,6012300.00000000,34.28180000
,XLK,2008-12-29,12.51480000,12.51480000,12.16480000,12.38480000,3008200.00000000,12.38480000
,XLI,2008-12-29,17.60550000,17.71550000,17.09550000,17.28550000,3072500.00000000,17.28550000
,XLE,2008-12-29,33.36840000,33.59840000,32.67840000,33.26840000,14656600.00000000,33.26840000
,XLB,2008-12-29,17.10230000,17.12230000,16.50230000,16.86230000,6554000.00000000,16.86230000
,VTI,2007-12-31,57.11810000,57.11810000,56.48310000,56.61810000,1137400.00000000,56.61810000
,XLB,2007-12-31,31.95480000,31.95480000,31.39480000,31.49480000,2064300.00000000,31.49480000
,XLI,2007-12-31,30.34370000,30.34370000,29.85370000,29.96370000,2378300.00000000,29.96370000
,XLK,2007-12-31,22.16930000,22.16930000,21.72930000,21.83930000,1786700.00000000,21.83930000
,XLE,2007-12-31,57.50140000,57.50140000,56.11140000,56.41140000,11304900.00000000,56.41140000
,XLI,2007-12-28,30.31140000,30.42140000,30.00140000,30.10140000,1541400.00000000,30.10140000
,VTI,2007-12-28,57.57780000,57.59280000,56.79280000,56.90280000,698800.00000000,56.90280000
,XLB,2007-12-28,32.05360000,32.24360000,31.60360000,31.68360000,2136900.00000000,31.68360000
,XLK,2007-12-28,22.55310000,22.55310000,21.93310000,22.00310000,1062700.00000000,22.00310000
,XLE,2007-12-28,56.90660000,57.22660000,56.41660000,57.13660000,10490700.00000000,57.13660000
,XLK,2006-12-29,18.97550000,19.14550000,18.90550000,18.91550000,1065100.00000000,18.91550000
,XLB,2006-12-29,26.00730000,26.00730000,25.73730000,25.79730000,524700.00000000,25.79730000
,XLE,2006-12-29,41.57980000,41.77980000,41.20980000,41.20980000,8064700.00000000,41.20980000
,VTI,2006-12-29,54.05270000,54.14270000,53.62770000,53.73270000,433800.00000000,53.73270000
,XLI,2006-12-29,26.67130000,26.68130000,26.40130000,26.40130000,252000.00000000,26.40130000
